year,players,positions,height,weight,team,nationality
2019,Kemba Walker,Kemba Walker,6-0,184,Charlotte Hornets,United States
2019,Russell Westbrook,Russell Westbrook,6-3,200,Oklahoma City Thunder,United States
2020,Devin Booker,Devin Booker,6-6,206,Phoenix Suns,United States
2020,Anthony Davis,Anthony Davis,6-10,253,Los Angeles Lakers,United States
2020,Luka Doncic,Luka Doncic,6-7,230,Dallas Mavericks,Slovenia
2020,James Harden,James Harden,6-5,220,Houston Rockets,United States
2020,LeBron James,LeBron James,6-8,250,Los Angeles Lakers,United States
2020,Nikola Jokic,Nikola Jokic,7-0,284,Denver Nuggets,Serbia
2020,Kawhi Leonard,Kawhi Leonard,6-7,225,Los Angeles Clippers,United States
2020,Damian Lillard,Damian Lillard,6-2,195,Portland Trail Blazers,United States
2020,Chris Paul,Chris Paul,6-0,175,Oklahoma City Thunder,United States
