college,colors
Lander Bearcats,#235782
Lane Dragons,#000080
Langston Lions,#1B3668
Lawrence Vikings,#003D6A
Le Moyne Dolphins,#00452A
LeMoyne–Owen Magiciansaka LeMoyne-Owen Magicians,#421383
Lebanon Valley Flying Dutchmen,#00305C
Lee Flames,#0D233F
Lehigh Mountain Hawks,#653819
Lewis Flyers,#ED174D
Liberty Flamesaka Liberty Baptist Flamesaka Liberty Lady Flamesaka Lynchburg Baptist Flames,#0A254E
Limestone Saints,#0033A1
Lincoln Blue Tigers,#211C41
Lincoln Memorial Railsplitters,#002461
Lindenwood Lionsaka Lindenwood Lady Lions,#000000
Lipscomb Bisonsaka Lipscomb Lady Bisons,#331E54
Little Rock Trojansaka Arkansas-Little Rock Trojansaka UALR Trojansaka Arkansas–Little Rock Trojans,#6E2639
Lock Haven Bald Eagles,#7A0026
Lone Star Conference,#002169
Long Beach State Beachaka Long Beach State Dirtbagsaka Long Beach State Athleticsaka Long Beach State 49ers,#000000
Longwood Lancers,#041E42
Louisiana Tech,#003087
Louisiana Tech Lady Techsters,#69B3E7
Louisiana,#CE181E
Louisiana-Monroe,#840029
Louisville,#C9001F
Lourdes Gray Wolves,#B94700
Loyola Greyhounds,#00694E
Loyola Marymount Lions,#AB0C2F
Loyola Ramblers,#582931
Loyola Wolf Packaka Loyola Wolfpack,#660000
Lubbock Christian Chaparralsaka Lubbock Christian Lady Chaps,#10147E
MIT Engineers,#A31F34
MSOE Raidersaka Milwaukee School of Engineering Raiders,#ba122b
Macalester Scots,#01426A
Maine Black Bears,#003263
Malone Pioneers,#003E7E
Manhattan Jaspersaka Manhattan Lady Jaspers,#00703C
Manhattanville Valiants,#A60438
Manitoba Bisons,#562E18
Mansfield Mountaineers,#D3103E
Marian Knights,#031E51
Marian Sabresaka Marian Sabers,#003da5
Marist College,#C8102E
Marquette,#003366
Marshall Thundering Herd,#00B140
Martin Methodist RedHawks,#A6192E
Mary Marauders,#00539B
Maryland Eastern Shore Hawksaka UMES Hawks,#822433
Maryland,#E21833
Maryville Saints,#C8102E
Massachusetts College of Liberal Arts Trailblazersaka MCLA Trailblazers,#25408f
Massachusetts Maritime Academy Buccaneersaka Massachusetts Maritime Buccaneers,#002066
McDaniel Green Terror,#00674D
McGill Redbirdsaka McGill Redmenaka McGill Martlets,#CD202C
McKendree Bearcats,#470A68
