teams,colors,secondary
George Fox Bruins,#081E3F,#BC9C16
George Mason Patriots,#006633,#FFCC33
George Washington Colonials,#00264A,#E5D19D
Georgetown Hoyas,#041E42,#AFA9A0
Georgetown Tigers,#000000,#FF6600
Georgia Bulldogsaka Georgia Lady Bulldogsaka Georgia Gymdogs,#BA0C2F,#000000
Georgia College Bobcats,#003399,#006633
Georgia Southern Eagles,#011E41,#87714D
Georgia Southwestern State Hurricanes,#1C3F7B,#C69E29
Georgia State Panthers,#0039A6,#CC0000
Georgia Tech Yellow Jacketsaka Georgia Tech Golden Tornadoaka Georgia Tech Engineers,#B3A369,#003057
Gonzaga Bulldogs,#041E42,#C8102E
Gordon Fighting Scots,#003882,#00FFFF
Graceland Yellowjackets,#00275C,#FFCB0B
Grambling State Tigers,#000000,#ECAA00
Grand Canyon Antelopes,#522398,#000000
Grand Valley State Lakers,#0033A0,#000000
Grantham Talons,#003366,transpa
Great American Conference,#002B5C,#B5121B
Great Lakes Intercollegiate Athletic Conference,#1D3D66,#5C8DC6
Great Midwest Athletic Conference,#005288,#000000
Great Plains Athletic Conference,#670000,#BDB193
Green Bay Phoenixaka UW-Green Bay Phoenix,#006A4D,#183029
Grinnell Pioneers,#000000,#DA291C
Gustavus Adolphus Gustiesaka Gustavus Adolphus Golden Gusties,#000000,#FFCF00
Hamilton Continentals,#002f86,#d6ba8b
Hamline Pipers,#95021e,#BFB9B6
Hampden–Sydney Tigersaka Hampden-Sydney Tigers,#9D183D,#B1B7BB
Hampton Pirates,#265198,#A0A0A2
Harding Bisons,#000000,#CBB778
Hardin–Simmons Cowboysaka Hardin-Simmons Cowgirlsaka Hardin-Simmons Cowboys,#581483,#FFC72C
Hartford Hawks,#C02427,#000000
Hartwick Hawks,#0033A1,#000000
Harvard Crimson,#A31F36,#2C2A29
Haverford Fords,#9D2235,#000000
Hawaii Pacific Sharks,#007298,#71B1C8
Hawaii Rainbow Warriorsaka Hawaii Warriorsaka Hawaii Rainbowsaka Hawaii Rainbow Wahine,#024731,#000000
Hawaii–Hilo Vulcansaka Hawaii-Hilo Vulcans,#D81E05,#000000
Heart of America Athletic Conference,#002D72,#E8000D
Henderson State Reddiesaka Henderson-Brown Reddies,#A91D36,#000000
High Point Panthers,#330072,#818183
Hilbert Hawks,#0071CE,#FFC629
Hillsdale Chargers,#004678,#ABADBC
Hobart Statesmen,#472663,#FF6418
Hockey East Associationaka Hockey East,#003882,transpa
Hofstra Pride,#003591,#FDC82F
Holy Cross Crusaders,#602D89,#AEB2B5
Holy Names Hawks,#C70021,#B0B0B0
Houston Baptist Huskies,#00529C,#F85512
Houston Cougars,#C92A39,#B8B9B7
Howard Bison,#003A63,#E51937
Humboldt State Lumberjacks,#046A38,#FFC72C
Hutchinson Blue Dragons,#D9293E,#004693
IUP Crimson Hawks,#9E1B32,#A2A5A4
IUPUI Jaguars,#990000,#F1BE48
Idaho State Bengals,#F47920,#000000
Idaho Vandals,#F1B300,#808080
Illinois College Blueboysaka Illinois College Lady Blues,#004A77,#828A93
Illinois Fighting Illini,#13294B,#E84A27
Illinois State Redbirds,#CE142B,#000000
Incarnate Word Cardinals,#CB333B,#000000
Independence Bowl,#211747,#AB2328
Indiana Hoosiers,#990000,#EDEBEB
Indiana State Sycamores,#0C4C91,#D0D0CE
Indiana Tech Warriors,#FA4616,#000000
Indianapolis Greyhounds,#9D2136,#C0BFBA
Iona Gaels,#661E2B,#EAAF0F
Iowa Hawkeyes,#000000,#FCD116
Iowa State Cyclones,#822433,#FDC82F
Ithaca Bombers,#003B71,#FFBB00
Ivy League,#01563F,transpa
Jackson State Tigers,#002147,#898D8D
Jacksonville Dolphins,#004E42,#C5B783
Jacksonville State Gamecocks,#CC0000,#000000
James Madison Dukes,#450084,#CBB677
John Carroll Blue Streaks,#28334A,#B9975B
Johns Hopkins Blue Jays,#68ACE5,#000000
Johnson & Wales Wildcatsaka Johnson and Wales Wildcats,#004680,#EAAA00
Johnson C. Smith Golden Bulls,#002D56,#FFCF01
Kansas City Roosaka UMKC Kangaroos,#004B87,#FFC72C
Kansas Jayhawks,#0051BA,#E8000D
Kansas State Wildcatsaka Kansas State Aggies,#512888,#A7A7A7
Kansas Wesleyan Coyotes,#582C83,#FFC72C
Kean Cougars,#003057,#7C878E
Keene State Owls,#C60C30,#000000
Kennesaw State Owls,#0B1315,#FDBB30
Kent State Golden Flashes,#002664,#EFAB00
Kentucky State Thorobredsaka Kentucky State Thorobrettes,#046A38,#FFD100
Kentucky Wildcatsaka Kentucky State College Wildcats,#0033A0,#C8C9C7
King's Monarchs,#CC0033,#000000
Kutztown Golden Bears,#782F40,#A49473
LIU Brooklyn Blackbirdsaka Long Island Blackbirds,#231F20,#8A8D8F
LIU Post Pioneers,#0E553f,#EDAA00
LIU Sharksaka Long Island Sharks,#69B3E7,#FFC72C
LSU Tigersaka Louisiana State Tigersaka LSU–Alexandria Generalsaka LSU Lady Tigers,#461D7C,#FDD023
La Salle Explorers,#003057,#F1C400
Lafayette Leopards,#910029,#000000
Lake Erie Storm,#113D2A,#000000
Lake Forest Foresters,#c8102e,#8b784a
Lake Superior State Lakers,#003F87,#FFC61E
